"","tffam","enzloc","adj.p"
"220","GRF","FUM_cytosol",1
"221","Homeobox","FUM_cytosol",1
"222","HSF","FUM_cytosol",1
"223","LBD","FUM_cytosol",0.142055666337999
"224","MADS","FUM_cytosol",1
"225","MYB","FUM_cytosol",1
"226","MYB-related","FUM_cytosol",1
"227","NAC","FUM_cytosol",1
"228","NLP","FUM_cytosol",1
"229","PHD","FUM_cytosol",1
"230","RAV","FUM_cytosol",1
"231","REM","FUM_cytosol",1
"232","SBP","FUM_cytosol",1
"233","TCP","FUM_cytosol",1
"234","Trihelix","FUM_cytosol",1
"235","TUB","FUM_cytosol",1
"236","VOZ","FUM_cytosol",1
"237","Whirly","FUM_cytosol",1
"238","WRKY","FUM_cytosol",1
"239","ZF-HD","FUM_cytosol",1
"240","ZIM","FUM_cytosol",1
"241","ABI3VP1","FUM_mitochondrion",1
"242","Alfin-like","FUM_mitochondrion",1
"243","AP2-EREBP","FUM_mitochondrion",1
"244","ARF","FUM_mitochondrion",1
"245","ARID","FUM_mitochondrion",1
"246","ARR-B","FUM_mitochondrion",1
"247","BBR/BPC","FUM_mitochondrion",1
"248","bHLH","FUM_mitochondrion",1
"249","bZIP","FUM_mitochondrion",1
"250","BZR","FUM_mitochondrion",1
"251","C2C2-CO-like","FUM_mitochondrion",1
"252","C2C2-Dof","FUM_mitochondrion",1
"253","C2C2-Gata","FUM_mitochondrion",1
"254","C2C2-YABBY","FUM_mitochondrion",1
"255","C2H2","FUM_mitochondrion",1
"256","C3H","FUM_mitochondrion",0.835441219942436
"257","CAMTA","FUM_mitochondrion",1
"258","CCAAT-DR1","FUM_mitochondrion",1
"259","CCAAT-HAP2","FUM_mitochondrion",1
"260","CCAAT-HAP3","FUM_mitochondrion",1
"261","CCAAT-HAP5","FUM_mitochondrion",1
"262","CPP","FUM_mitochondrion",1
"263","E2F-DP","FUM_mitochondrion",1
"264","EIL","FUM_mitochondrion",1
"265","G2-like","FUM_mitochondrion",1
"266","GeBP","FUM_mitochondrion",1
"267","GRAS","FUM_mitochondrion",1
"268","GRF","FUM_mitochondrion",1
"269","Homeobox","FUM_mitochondrion",1
"270","HSF","FUM_mitochondrion",1
"271","LBD","FUM_mitochondrion",0.0283670678968581
"272","MADS","FUM_mitochondrion",1
"273","MYB","FUM_mitochondrion",1
"274","MYB-related","FUM_mitochondrion",1
"275","NAC","FUM_mitochondrion",1
"276","NLP","FUM_mitochondrion",1
"277","PHD","FUM_mitochondrion",1
"278","RAV","FUM_mitochondrion",1
"279","REM","FUM_mitochondrion",1
"280","SBP","FUM_mitochondrion",1
"281","TCP","FUM_mitochondrion",1
"282","Trihelix","FUM_mitochondrion",1
"283","TUB","FUM_mitochondrion",1
"284","VOZ","FUM_mitochondrion",1
"285","Whirly","FUM_mitochondrion",1
"286","WRKY","FUM_mitochondrion",1
"287","ZF-HD","FUM_mitochondrion",1
"288","ZIM","FUM_mitochondrion",1
"289","ABI3VP1","ICDH_cytosol",1
"290","Alfin-like","ICDH_cytosol",1
"291","AP2-EREBP","ICDH_cytosol",1
"292","ARF","ICDH_cytosol",1
"293","ARID","ICDH_cytosol",0.041326284422264
"294","ARR-B","ICDH_cytosol",1
"295","BBR/BPC","ICDH_cytosol",1
"296","bHLH","ICDH_cytosol",1
"297","bZIP","ICDH_cytosol",1
"298","BZR","ICDH_cytosol",1
"299","C2C2-CO-like","ICDH_cytosol",1
"300","C2C2-Dof","ICDH_cytosol",1
"301","C2C2-Gata","ICDH_cytosol",0.0148359904948142
"302","C2C2-YABBY","ICDH_cytosol",1
"303","C2H2","ICDH_cytosol",1
"304","C3H","ICDH_cytosol",1
"305","CAMTA","ICDH_cytosol",1
"306","CCAAT-DR1","ICDH_cytosol",1
"307","CCAAT-HAP2","ICDH_cytosol",1
"308","CCAAT-HAP3","ICDH_cytosol",1
"309","CCAAT-HAP5","ICDH_cytosol",1
