"Var1","Var2","Var3","n","e","TF_fam","comploc_n","b","c","d","tfpercentage","pval","adj.p"
"OGDH","mitochondrion","AP2-EREBP",34,"OGDH_mitochondrion",71,148,114,37,777,22.972972972973,1.18127549473141e-11,5.67012237471078e-10
"PDH","mitochondrion","AP2-EREBP",35,"PDH_mitochondrion",71,471,436,36,455,7.43099787685775,0.525444647862079,1
"SCL","mitochondrion","AP2-EREBP",0,"SCL_mitochondrion",71,17,17,71,874,0,1,1
"SDH","mitochondrion","AP2-EREBP",30,"SDH_mitochondrion",71,375,345,41,546,8,0.320282403267908,1
"ACO","peroxisome","AP2-EREBP",0,"ACO_peroxisome",71,NA,NA,71,NA,NA,NA,NA
"CSY","peroxisome","AP2-EREBP",10,"CSY_peroxisome",71,150,140,61,751,6.66666666666667,0.694592767999295,1
"FUM","peroxisome","AP2-EREBP",0,"FUM_peroxisome",71,NA,NA,71,NA,NA,NA,NA
"ICDH","peroxisome","AP2-EREBP",15,"ICDH_peroxisome",71,70,55,56,836,21.4285714285714,7.00966292550769e-05,0.00329454157498861
"MDH","peroxisome","AP2-EREBP",15,"MDH_peroxisome",71,143,128,56,763,10.4895104895105,0.0894436539621298,1
"OGDH","peroxisome","AP2-EREBP",0,"OGDH_peroxisome",71,NA,NA,71,NA,NA,NA,NA
"PDH","peroxisome","AP2-EREBP",0,"PDH_peroxisome",71,NA,NA,71,NA,NA,NA,NA
"SCL","peroxisome","AP2-EREBP",0,"SCL_peroxisome",71,NA,NA,71,NA,NA,NA,NA
"SDH","peroxisome","AP2-EREBP",0,"SDH_peroxisome",71,NA,NA,71,NA,NA,NA,NA
"ACO","plastid","AP2-EREBP",0,"ACO_plastid",71,NA,NA,71,NA,NA,NA,NA
"CSY","plastid","AP2-EREBP",0,"CSY_plastid",71,NA,NA,71,NA,NA,NA,NA
"FUM","plastid","AP2-EREBP",0,"FUM_plastid",71,NA,NA,71,NA,NA,NA,NA
"ICDH","plastid","AP2-EREBP",0,"ICDH_plastid",71,NA,NA,71,NA,NA,NA,NA
"MDH","plastid","AP2-EREBP",17,"MDH_plastid",71,96,79,54,812,17.7083333333333,0.000276841017403829,0.0127346868005761
"OGDH","plastid","AP2-EREBP",0,"OGDH_plastid",71,NA,NA,71,NA,NA,NA,NA
"PDH","plastid","AP2-EREBP",29,"PDH_plastid",71,330,301,42,590,8.78787878787879,0.141144450002159,1
"SCL","plastid","AP2-EREBP",0,"SCL_plastid",71,NA,NA,71,NA,NA,NA,NA
"SDH","plastid","AP2-EREBP",0,"SDH_plastid",71,NA,NA,71,NA,NA,NA,NA
"ACO","cytosol","ARF",1,"ACO_cytosol",11,65,64,10,887,1.53846153846154,0.53870564187739,1
"CSY","cytosol","ARF",0,"CSY_cytosol",11,NA,NA,11,NA,NA,NA,NA
"FUM","cytosol","ARF",0,"FUM_cytosol",11,39,39,11,912,0,1,1
"ICDH","cytosol","ARF",2,"ICDH_cytosol",11,173,171,9,780,1.15606936416185,0.615979941563485,1
"MDH","cytosol","ARF",3,"MDH_cytosol",11,215,212,8,739,1.3953488372093,0.460611294317739,1
"OGDH","cytosol","ARF",0,"OGDH_cytosol",11,NA,NA,11,NA,NA,NA,NA
"PDH","cytosol","ARF",0,"PDH_cytosol",11,NA,NA,11,NA,NA,NA,NA
"SCL","cytosol","ARF",0,"SCL_cytosol",11,NA,NA,11,NA,NA,NA,NA
"SDH","cytosol","ARF",0,"SDH_cytosol",11,NA,NA,11,NA,NA,NA,NA
"ACO","mitochondrion","ARF",2,"ACO_mitochondrion",11,214,212,9,739,0.934579439252336,0.741171812276787,1
"CSY","mitochondrion","ARF",2,"CSY_mitochondrion",11,167,165,9,786,1.19760479041916,0.594848429352861,1
"FUM","mitochondrion","ARF",0,"FUM_mitochondrion",11,46,46,11,905,0,1,1
"ICDH","mitochondrion","ARF",2,"ICDH_mitochondrion",11,202,200,9,751,0.99009900990099,0.708017467668949,1
"MDH","mitochondrion","ARF",3,"MDH_mitochondrion",11,149,146,8,805,2.01342281879195,0.235419490674492,1
"OGDH","mitochondrion","ARF",2,"OGDH_mitochondrion",11,148,146,9,805,1.35135135135135,0.523459815817623,1
"PDH","mitochondrion","ARF",6,"PDH_mitochondrion",11,471,465,5,486,1.27388535031847,0.471733427938716,1
"SCL","mitochondrion","ARF",0,"SCL_mitochondrion",11,17,17,11,934,0,1,1
"SDH","mitochondrion","ARF",5,"SDH_mitochondrion",11,375,370,6,581,1.33333333333333,0.438991850091804,1
"ACO","peroxisome","ARF",0,"ACO_peroxisome",11,NA,NA,11,NA,NA,NA,NA
"CSY","peroxisome","ARF",3,"CSY_peroxisome",11,150,147,8,804,2,0.238651511794029,1
"FUM","peroxisome","ARF",0,"FUM_peroxisome",11,NA,NA,11,NA,NA,NA,NA
"ICDH","peroxisome","ARF",2,"ICDH_peroxisome",11,70,68,9,883,2.85714285714286,0.187794957499925,1
"MDH","peroxisome","ARF",2,"MDH_peroxisome",11,143,141,9,810,1.3986013986014,0.503612993223788,1
"OGDH","peroxisome","ARF",0,"OGDH_peroxisome",11,NA,NA,11,NA,NA,NA,NA
"PDH","peroxisome","ARF",0,"PDH_peroxisome",11,NA,NA,11,NA,NA,NA,NA
"SCL","peroxisome","ARF",0,"SCL_peroxisome",11,NA,NA,11,NA,NA,NA,NA
"SDH","peroxisome","ARF",0,"SDH_peroxisome",11,NA,NA,11,NA,NA,NA,NA
"ACO","plastid","ARF",0,"ACO_plastid",11,NA,NA,11,NA,NA,NA,NA
"CSY","plastid","ARF",0,"CSY_plastid",11,NA,NA,11,NA,NA,NA,NA
"FUM","plastid","ARF",0,"FUM_plastid",11,NA,NA,11,NA,NA,NA,NA
"ICDH","plastid","ARF",0,"ICDH_plastid",11,NA,NA,11,NA,NA,NA,NA
"MDH","plastid","ARF",2,"MDH_plastid",11,96,94,9,857,2.08333333333333,0.301749374557748,1
"OGDH","plastid","ARF",0,"OGDH_plastid",11,NA,NA,11,NA,NA,NA,NA
"PDH","plastid","ARF",5,"PDH_plastid",11,330,325,6,626,1.51515151515152,0.312857528019727,1
"SCL","plastid","ARF",0,"SCL_plastid",11,NA,NA,11,NA,NA,NA,NA
"SDH","plastid","ARF",0,"SDH_plastid",11,NA,NA,11,NA,NA,NA,NA
"ACO","cytosol","ARID",1,"ACO_cytosol",6,65,64,5,892,1.53846153846154,0.343535004452437,1
"CSY","cytosol","ARID",0,"CSY_cytosol",6,NA,NA,6,NA,NA,NA,NA
"FUM","cytosol","ARID",1,"FUM_cytosol",6,39,38,5,918,2.56410256410256,0.220398752422574,1
"ICDH","cytosol","ARID",5,"ICDH_cytosol",6,173,168,1,788,2.89017341040462,0.000918361876050311,0.041326284422264
"MDH","cytosol","ARID",4,"MDH_cytosol",6,215,211,2,745,1.86046511627907,0.0248922650310932,1
"OGDH","cytosol","ARID",0,"OGDH_cytosol",6,NA,NA,6,NA,NA,NA,NA
"PDH","cytosol","ARID",0,"PDH_cytosol",6,NA,NA,6,NA,NA,NA,NA
