"","tffam","enzloc","pval"
"240","ZIM","FUM_cytosol",1
"241","bHLH","FUM_mitochondrion",1
"242","MYB","FUM_mitochondrion",1
"243","E2F-DP","FUM_mitochondrion",1
"244","AP2-EREBP","FUM_mitochondrion",0.973095793347207
"245","Trihelix","FUM_mitochondrion",0.108857481073204
"246","ARID","FUM_mitochondrion",0.255300590402794
"247","C2H2","FUM_mitochondrion",0.0461188226570285
"248","GeBP","FUM_mitochondrion",0.036998877794205
"249","NAC","FUM_mitochondrion",0.850376507828321
"250","C2C2-Gata","FUM_mitochondrion",0.26553908214592
"251","bZIP","FUM_mitochondrion",1
"252","EIL","FUM_mitochondrion",1
"253","LBD","FUM_mitochondrion",0.000590980581184543
"254","MADS","FUM_mitochondrion",0.725067490038385
"255","TCP","FUM_mitochondrion",1
"256","SBP","FUM_mitochondrion",1
"257","G2-like","FUM_mitochondrion",0.71087344350838
"258","C3H","FUM_mitochondrion",0.0177753451051582
"259","CPP","FUM_mitochondrion",1
"260","GRF","FUM_mitochondrion",1
"261","REM","FUM_mitochondrion",1
"262","Homeobox","FUM_mitochondrion",1
"263","PHD","FUM_mitochondrion",0.0478170478170479
"264","C2C2-Dof","FUM_mitochondrion",1
"265","WRKY","FUM_mitochondrion",1
"266","CCAAT-DR1","FUM_mitochondrion",1
"267","ARF","FUM_mitochondrion",1
"268","RAV","FUM_mitochondrion",0.388809097138264
"269","NLP","FUM_mitochondrion",1
"270","ARR-B","FUM_mitochondrion",1
"271","ZF-HD","FUM_mitochondrion",1
"272","Whirly","FUM_mitochondrion",1
"273","BBR/BPC","FUM_mitochondrion",1
"274","MYB-related","FUM_mitochondrion",1
"275","GRAS","FUM_mitochondrion",0.446476335189602
"276","BZR","FUM_mitochondrion",1
"277","Alfin-like","FUM_mitochondrion",1
"278","HSF","FUM_mitochondrion",0.255300590402794
"279","CAMTA","FUM_mitochondrion",1
"280","VOZ","FUM_mitochondrion",1
"281","CCAAT-HAP3","FUM_mitochondrion",1
"282","CCAAT-HAP5","FUM_mitochondrion",1
"283","C2C2-CO-like","FUM_mitochondrion",1
"284","C2C2-YABBY","FUM_mitochondrion",1
"285","ABI3VP1","FUM_mitochondrion",1
"286","CCAAT-HAP2","FUM_mitochondrion",1
"287","TUB","FUM_mitochondrion",1
"288","ZIM","FUM_mitochondrion",1
"289","bHLH","ICDH_cytosol",0.999954264545846
"290","MYB","ICDH_cytosol",1.96567079749907e-05
"291","E2F-DP","ICDH_cytosol",0.327480686481727
"292","AP2-EREBP","ICDH_cytosol",0.396490090436439
"293","Trihelix","ICDH_cytosol",0.0019154010835885
"294","ARID","ICDH_cytosol",0.000918361876050311
"295","C2H2","ICDH_cytosol",0.960998090871017
"296","GeBP","ICDH_cytosol",0.000584524851760687
"297","NAC","ICDH_cytosol",0.229999623974578
"298","C2C2-Gata","ICDH_cytosol",0.00031565937223009
"299","bZIP","ICDH_cytosol",0.887890061251114
"300","EIL","ICDH_cytosol",1
"301","LBD","ICDH_cytosol",1
"302","MADS","ICDH_cytosol",0.994646543303196
"303","TCP","ICDH_cytosol",0.833455466578291
